A1A,A2A,A3A,A4A,A4B,A3B,A2B,A1B,B1A,B2A,B3A,B4A,B4B,B3B,B2B,B1B,timestamp
1.1062988819682295e-08,3.365767673716032e-07,7.578831217375207e-07,2.0777465844340396e-06,1.8524740975589115e-06,4.409717619823711e-09,1.3075062924835886e-06,3.859205890411784e-07,4.001123062477211e-08,1.4480502951180662e-06,1.3013663103099128e-06,2.216621407973636e-06,2.2432116599410278e-06,5.283831228651682e-06,3.9925632854853865e-06,4.724956938684482e-08,831791.4404564494
2.305326528521648e-08,1.140685384823476e-07,2.620602324383952e-06,1.098342312246571e-06,7.657750565645687e-07,1.481734809103678e-09,2.14522826035987e-06,1.0326226636544814e-06,6.716929408526085e-08,8.849419301479363e-07,2.202303152468188e-06,2.1334600613634333e-06,1.8178912008744142e-06,2.7149957766328913e-06,3.1558634215553935e-06,4.184577638980103e-08,831796.3063262266
7.554578272458401e-09,3.197168991104048e-07,1.1542619549822986e-06,4.573649892626248e-07,6.139505252707683e-07,1.0728267861471198e-09,1.0604973268845375e-06,1.5183013163179766e-06,9.187776882400669e-08,3.2914022483650903e-06,1.254606497140131e-06,3.776770567843498e-06,3.3894587954449117e-06,3.38350504673449e-06,3.0277148582884445e-06,3.864933722098662e-08,831801.1677097038
3.50953679942052e-08,1.1644385064059595e-06,1.2786737557102305e-06,1.3941569865461475e-06,1.2771582869179875e-06,1.5193062175971622e-09,5.499285691428743e-06,1.6715354307491792e-06,8.07459318772236e-08,1.8275447436650094e-06,1.018593578154114e-06,2.7508355493377435e-06,2.543147745593998e-06,1.2269606453419975e-06,2.6007410589858625e-06,3.5487304862316105e-08,831806.028982581
2.1801473972432214e-08,2.9390545021021317e-07,5.548857432388053e-07,4.7513804285237125e-06,1.4969620825173266e-06,1.884419049790996e-09,1.4388241706324207e-06,2.3123662955963513e-06,6.141680276115323e-08,1.8251793071004106e-06,1.0015232682123016e-06,5.857609106369345e-06,1.947628940072429e-06,4.812579230404167e-06,3.5886519269994865e-06,4.796540461122184e-08,831810.9066676581
4.503384265067057e-08,1.6534552272421655e-07,2.1010387391582083e-06,2.7825278402226335e-06,2.6525041637467794e-06,7.416912810659822e-09,1.7309201529993583e-06,4.640417058738547e-07,8.101271835753819e-08,1.0722453754408057e-06,1.2705303154201359e-06,2.9656889315514998e-06,2.159150455734365e-06,2.460652924553795e-06,2.9045061338568467e-06,3.906063974374666e-08,831815.7718269353
1.5324499693725242e-07,5.5470745357656e-07,2.3790440842624763e-06,2.3903260524694806e-06,1.4183526597904598e-06,3.5956801633470507e-09,4.6529282503181264e-07,1.5320309286369005e-06,2.1743313870139472e-07,1.4810241525418722e-06,1.2675247650486482e-06,6.0946226789909205e-06,3.2372614588646793e-06,3.3166418390803305e-06,3.460395477105915e-06,3.8635715490064756e-08,831820.6367916125
1.5723244103771896e-07,3.8108267867869547e-07,1.1732221097669001e-05,2.7568791652989793e-06,1.9208339695560605e-07,1.7356995181794028e-09,4.902559654052954e-06,8.143645985488245e-07,3.653777881032508e-07,7.701568222934962e-07,9.112587291532895e-07,5.45513434079808e-06,3.86324338725811e-06,3.2883466117674764e-06,3.311095694925686e-06,3.765223985586645e-08,831825.5199151896
7.25538815725511e-08,3.9081904513965263e-07,1.5415570722834989e-06,1.8574670580494504e-06,1.1072291606015984e-06,1.7356108226151632e-09,2.264801361659771e-06,4.6869806468256744e-07,2.806504461217479e-07,2.9254319125777537e-06,9.580445412149806e-07,4.359313818205769e-06,3.8335766161559285e-06,6.954215408744463e-06,2.4401684159111375e-06,2.674198549877034e-08,831830.4022323667
6.142320573920737e-09,5.749695888520657e-07,2.211374488177866e-06,4.096824354957096e-07,1.2868382547141472e-06,1.0195208640603578e-09,6.28897867866844e-07,1.7867161787460742e-06,6.298794068260837e-08,7.957101067366994e-07,9.560863395604526e-07,1.592449193703949e-06,4.710361063613111e-06,3.22181114580744e-06,1.5979825190643307e-06,2.177017559557287e-08,831835.3145592437
