A1A,A2A,A3A,A4A,A4B,A3B,A2B,A1B,B1A,B2A,B3A,B4A,B4B,B3B,B2B,B1B,timestamp
1.774163057974272e-08,1.5537852541451056e-06,2.3966186182847077e-06,2.6623403412539282e-06,2.3633130290529976e-06,1.3332506491456444e-06,2.0549302484298083e-07,1.475186207187901e-06,2.303611413132499e-08,5.335781652807524e-07,5.770029345898998e-07,2.367158770584461e-06,1.5775454455982921e-06,1.7284077075193883e-06,6.688390046814918e-07,2.3597562298422272e-07,824900.8517234173
4.780174560342705e-08,5.142693794839124e-07,2.466495888511411e-06,5.771312323089163e-07,7.915643757323928e-07,3.440607643016916e-07,9.323432046829428e-08,4.943897386097231e-07,2.9230905792121864e-08,1.564704778551128e-06,2.1691985673110495e-06,1.1108400198766275e-06,4.872457228557662e-06,2.475433540520622e-06,1.2328069064257443e-06,2.2870485949721866e-07,824905.595037732
2.0131138300106333e-07,9.46395740786112e-07,2.90544219727644e-06,1.1165170152842382e-06,1.7727827544921538e-06,7.73685726593129e-07,5.416331590465997e-07,9.283828432692911e-07,2.343765974734056e-08,5.489703112211807e-07,7.268875785142145e-07,3.1734869799172995e-06,1.954948866779579e-06,1.501741236728295e-06,1.0405846525961495e-06,3.2526129620261455e-07,824910.3166156466
1.990387786036691e-07,2.226490443641667e-06,1.2807366494874608e-06,1.2936672452282497e-07,1.6180932274397116e-06,1.0385221213746066e-06,5.120144901638772e-07,1.7810956811760859e-07,1.1856518955159228e-08,6.526715967092802e-07,1.0887275885325982e-06,2.0012636166703986e-06,2.676823755554561e-06,2.1452668869163355e-06,4.1962542678141906e-07,1.4008638729264173e-07,824915.0545680613
1.3391067633353797e-07,1.071024898009047e-06,2.4950155701385697e-06,1.2272679301720845e-06,2.3892591498318534e-06,1.646509276833391e-06,9.404446159549181e-07,6.312744108952368e-07,3.017386524720507e-08,4.6451003907264637e-07,4.6446379332594316e-07,1.598821491063239e-06,1.3507763603042282e-06,5.456381320244466e-07,5.828993177053316e-07,3.694700711183208e-07,824919.7872819757
1.38092382378447e-07,2.359625703115833e-06,1.3985190962476712e-06,7.858251184930683e-07,7.08491693329379e-07,2.7762241464910702e-06,1.9082236690391914e-06,9.064958491007901e-07,2.1458883809028713e-08,5.418373135724863e-07,8.948381097640014e-07,3.4610681833531993e-06,1.8151044354899453e-06,1.9281279188189064e-06,1.2767020791438419e-06,1.6571689156093143e-07,824924.5035539903
2.448223923819755e-07,1.848094891040383e-06,1.4519092954626773e-06,1.2611773916726373e-06,1.198923382834294e-06,4.5956995673146597e-07,2.2703771775814598e-06,1.6494689680559217e-06,2.6556867080138e-08,2.1177480767406096e-06,1.1758506273336668e-06,2.0038164213574178e-06,1.5522390834841483e-06,4.682127895127684e-06,5.9930184114213e-06,6.928091163882275e-07,824929.231773405
3.0255357591255223e-07,2.500418190979344e-06,1.0694005245563337e-05,2.696748651463774e-07,4.450322425694094e-06,2.124003134168756e-06,3.341826313860345e-06,1.446943757691106e-06,1.581083992210129e-08,5.611935154963025e-07,6.992962160033587e-07,1.2003667055851494e-06,1.4118729658560679e-06,2.5294692842012466e-06,4.2593205214889096e-07,1.2466698325116685e-07,824933.9767721195
5.334796967631224e-08,2.1944350577085186e-06,6.29249138513361e-07,8.319192833816528e-08,1.907803169388227e-06,6.033560837322863e-07,1.8835772594317418e-07,2.7005189845508324e-07,2.375520165867676e-08,9.358201023030104e-07,8.864497391516676e-07,1.8892973347482085e-06,1.9467193723764637e-06,1.5861387783676218e-06,1.1630938573375274e-06,2.566855212918937e-07,824938.6947986342
1.86509525040526e-07,8.604518263937891e-07,3.3357108768205477e-06,5.754900928090273e-07,3.0515967850483955e-06,8.125438898221889e-07,5.192396828102527e-07,4.686903310938431e-07,1.6186851723857145e-08,9.269664584097457e-07,9.89043356237669e-07,1.9518666355004835e-06,1.995623376504715e-06,1.0136702862505173e-06,4.982519567001445e-07,1.531066892777041e-07,824943.4380059488
1.1113221356266223e-07,1.2879109312904187e-06,1.7439618312446482e-06,4.739297869269546e-07,1.928107757316954e-06,6.352464741118713e-07,3.029333412703605e-07,1.3394221453680806e-07,1.535549387158355e-08,3.280868094134371e-07,2.2841790374884586e-07,1.4707983064182172e-06,7.757295466294813e-07,1.4561396597634891e-06,6.537777920913475e-07,2.603321454010316e-07,824948.1849396634
9.802395255367197e-08,2.3239392826994145e-06,1.27137875945746e-06,1.279696517254108e-06,7.044289249351635e-06,6.34993042539261e-06,3.078092560504293e-05,5.859246199215897e-06,2.297818273580303e-08,2.7181204345110976e-06,1.6366375931678705e-06,3.6579140193733373e-06,2.3275869314269682e-06,7.359154385655095e-06,1.2956517029822565e-05,1.343583929179874e-06,824952.9105677779
2.1731545828405896e-07,1.848880958036649e-06,1.1777394128711247e-06,3.0125326782262825e-07,3.877109137316605e-06,3.8796521038155207e-07,3.478306244061055e-07,2.429282602816829e-07,2.861324508106937e-08,2.930324261036944e-07,7.225187186886172e-07,1.9768192750280177e-06,2.108150936954614e-06,1.9246020843911277e-06,8.512648235830678e-07,4.073827620953621e-07,824957.6658536928
3.233486860867065e-08,2.04472701245562e-06,1.4598588427844467e-06,2.0867267033839318e-07,7.845054418043244e-07,7.818463773550695e-07,9.519018633850304e-07,1.8077677116497996e-07,2.033467569388867e-08,7.461354792562832e-07,3.782859379688906e-07,1.6822664200590688e-06,1.7647402035559669e-06,1.6664602173891609e-06,9.54610336182058e-07,7.83186579614366e-08,824962.3918747073
