%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
33.0, 150831.0, 187500.0, -187500.015625, -810.5636596679688, -187500.015625, -8352.1533203125, -18682.2578125, -8970.783203125, 0.15800000727176666, 0.89000004529953, 0.3240000009536743, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660849247E9, 2021-03-11 16:59:26.084
34.0, 150823.640625, 187500.0, -187500.015625, -676.810791015625, -187500.015625, -8358.9267578125, -18682.525390625, -8960.4560546875, 0.15800000727176666, 0.89000004529953, 0.3240000009536743, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660850592E9, 2021-03-11 16:59:26.085
35.0, 150518.046875, 187500.0, -187500.015625, -427.8123779296875, -187500.015625, -8603.3427734375, -18942.25390625, -9182.1181640625, 0.15800000727176666, 0.89000004529953, 0.3240000009536743, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660850897E9, 2021-03-11 16:59:26.085
36.0, 150202.109375, 187500.0, -187500.015625, -353.2022399902344, -187500.015625, -8894.18359375, -19242.81640625, -9468.8916015625, 0.15800000727176666, 0.89000004529953, 0.3240000009536743, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660850928E9, 2021-03-11 16:59:26.085
37.0, 150414.0625, 187500.0, -187500.015625, -610.3367309570312, -187500.015625, -8712.0615234375, -19063.48828125, -9316.1396484375, 0.15800000727176666, 0.8940000534057617, 0.3320000171661377, 192.0, 4.0, 240.0, 27.0, 240.0, 10.0, 96.0, 0.0, 0.0, 0.0, 1.6154783660850968E9, 2021-03-11 16:59:26.085
38.0, 150818.390625, 187500.0, -187500.015625, -800.8406372070312, -187500.015625, -8342.095703125, -18670.9921875, -8955.6953125, 0.15800000727176666, 0.8940000534057617, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660850997E9, 2021-03-11 16:59:26.085
39.0, 150804.9375, 187500.0, -187500.015625, -659.9575805664062, -187500.015625, -8356.4453125, -18683.107421875, -8952.9013671875, 0.15800000727176666, 0.8940000534057617, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085102E9, 2021-03-11 16:59:26.085
40.0, 150532.40625, 187500.0, -187500.015625, -408.5675354003906, -187500.015625, -8601.21875, -18948.892578125, -9180.666015625, 0.15800000727176666, 0.8940000534057617, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085106E9, 2021-03-11 16:59:26.085
41.0, 150225.734375, 187500.0, -187500.015625, -354.18572998046875, -187500.015625, -8889.646484375, -19256.138671875, -9469.115234375, 0.15800000727176666, 0.8940000534057617, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660851088E9, 2021-03-11 16:59:26.085
42.0, 150427.75, 187500.0, -187500.015625, -626.0499877929688, -187500.015625, -8710.2734375, -19068.4296875, -9316.4521484375, 0.15800000727176666, 0.8940000534057617, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660851164E9, 2021-03-11 16:59:26.085
43.0, 150823.734375, 187500.0, -187500.015625, -803.9698486328125, -187500.015625, -8342.5205078125, -18677.138671875, -8960.0537109375, 0.15800000727176666, 0.8940000534057617, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085121E9, 2021-03-11 16:59:26.085
44.0, 150802.71875, 187500.0, -187500.015625, -671.8263549804688, -187500.015625, -8358.2333984375, -18688.271484375, -8954.7568359375, 0.15800000727176666, 0.8940000534057617, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660851247E9, 2021-03-11 16:59:26.085
45.0, 150522.90625, 187500.0, -187500.015625, -420.10101318359375, -187500.015625, -8613.4228515625, -18960.068359375, -9188.130859375, 0.15800000727176666, 0.8940000534057617, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660851295E9, 2021-03-11 16:59:26.085
46.0, 150230.890625, 187500.0, -187500.015625, -364.6910400390625, -187500.015625, -8888.6630859375, -19243.845703125, -9462.029296875, 0.15800000727176666, 0.8940000534057617, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660851333E9, 2021-03-11 16:59:26.085
47.0, 150463.6875, 187500.0, -187500.015625, -643.6631469726562, -187500.015625, -8705.490234375, -19047.529296875, -9305.634765625, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 5.0, 48.0, 27.0, 224.0, 10.0, 128.0, 0.0, 0.0, 0.0, 1.6154783660851364E9, 2021-03-11 16:59:26.085
48.0, 150829.390625, 187500.0, -187500.015625, -816.0845336914062, -187500.015625, -8352.533203125, -18681.6328125, -8967.1171875, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085139E9, 2021-03-11 16:59:26.085
49.0, 150772.96875, 187500.0, -187500.015625, -688.9254150390625, -187500.015625, -8385.63671875, -18719.228515625, -8986.5185546875, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085142E9, 2021-03-11 16:59:26.085
50.0, 150517.0, 187500.0, -187500.015625, -432.68505859375, -187500.015625, -8630.74609375, -18975.2890625, -9211.533203125, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085186E9, 2021-03-11 16:59:26.085
